X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"371392515",way,12.5,dentist,,City Centre Dental,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 03:57:26+00,913146f3494c44a199fa5823a0fe667e
-76.7868887669287,17.9937398713943,"3787792955",node,21.875,pharmacy,pharmacy,Marching Bees Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Caledonia Avenue,,Kingston,96221968,5,2020/12/22 00:38:53+00,5e013d03abe04d28b9bd0e313d344aed
,,"375152673",way,12.5,clinic,,Qualcare,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,89538427,2,2020/08/17 21:03:20+00,fd36663b104645ceb89dff222ac5039f
-76.782589856429,18.0005354993922,"3780155320",node,15.625,dentist,dentist,Dental Office,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,122518209,4,2022/06/17 17:29:44+00,c28224eeeb684b96ad91d1eb8e389288
-77.4648507070342,18.1554685254892,"3162368771",node,12.5,hospital,,Percy Junor Hospital,Ministry of Health,,,,,,,,,,,,,,,,,,,,,,,26496527,1,2014/11/02 05:45:35+00,e3bafc4cbe1a48fe93255fcfc65fd4e0
,,"372852185",way,12.5,clinic,,Oasis X-Ray & Ultrasound,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,34532653,2,2015/10/09 15:51:50+00,59f8e77f8def49138d54c7805baa24e0
,,"374472097",way,15.625,hospital,hospital,Savannah La Mar Public General Hospital,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,130047056,2,2022/12/13 18:58:00+00,47cbe5d935de4399aa532d4fed490b7f
,,"848741537",way,12.5,clinic,,Greater Portmore Health Center,,,,,,,,,,,,,,,,,,,,,West Henderson Boulevard,,,103290379,2,2021/04/20 18:51:13+00,51d3c97ca01e4823ae43592f162a3b94
-76.7609790469338,18.0225121789609,"2658010771",node,15.625,hospital,,National Chest Hospital,,,,,,,,,,,,,,,,,,,,35 1/5,Barbican Rd,,,48879149,2,2017/05/22 07:33:42+00,9f687b0306fd4dd2b9c2ee14baf8a8d9
,,"375583426",way,15.625,hospital,hospital,Saint Thomas Infirmary,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,173014714,5,2025/10/08 16:50:35+00,29d8162338cb4d63ae4e58c11f976497
